"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) Sample 2","#Peptides","Area Sample 2","#Unique","#Spec Sample 2","PTM","Average Mass","Description"
339,true,"A0A2I9LPW7|A0A2I9LPW7_9SCOR",56.152378,5.35,5.35,1,,1,1.0,"Carbamidomethylation",49881.42,"Tubulin alpha chain OS=Centruroides hentzi OX=88313 PE=3 SV=1"
184,false,"A0A0U1SPK7|A0A0U1SPK7_ISOMC",156.74358,10.98,10.98,2,,2,2.0,"",27499.678,"Tr-type G domain-containing protein (Fragment) OS=Isometrus maculatus OX=497827 PE=2 SV=1"
118,false,"A0A2I9LNP4|A0A2I9LNP4_9SCOR",276.24225,26.56,26.56,9,813163.0,3,10.0,"Carbamidomethylation",46517.09,"Enolase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
107,true,"A0A1W7RAE6|A0A1W7RAE6_9SCOR",312.28506,14.08,14.08,12,713912.6,1,21.0,"Carbamidomethylation; Oxidation (M)",72110.414,"Hemocyanin subunit 6 OS=Hadrurus spadix OX=141984 PE=3 SV=1"
234,true,"A0A8K1K274|A0A8K1K274_HEMLE",206.03265,14.20,14.20,4,541714.7,4,4.0,"Carbamidomethylation",36294.336,"Glyceraldehyde-3-phosphate dehydrogenase OS=Hemiscorpius lepturus OX=520031 PE=2 SV=1"
178,true,"A0A7U1GJT2|A0A7U1GJT2_HEMLE",240.98413,17.09,17.09,7,172257.25,2,7.0,"Carbamidomethylation",46812.36,"Enolase OS=Hemiscorpius lepturus OX=520031 PE=2 SV=1"
251,false,"P0C5J7|SCXT_PARLS",23.070768,42.86,42.86,1,140718.03,1,2.0,"",1615.7299,"Insect toxin PlIT (Fragment) OS=Parabuthus liosoma OX=470425 PE=1 SV=1"
97,true,"A0A146CJD6|A0A146CJD6_MESEU",282.48856,81.82,81.82,11,,1,36.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",4710.5264,"Venom toxin meu14toxinB OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
260,false,"Q6IZE1|Q6IZE1_MESMA",114.36285,27.27,27.27,2,,1,2.0,"Carbamidomethylation",7335.318,"Neurotoxin Mm1 (Fragment) OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
364,true,"F1CIV1|F1CIV1_HOTJU",84.716286,34.88,34.88,1,135890.05,1,1.0,"Carbamidomethylation",4440.1353,"Ryanodine-receptor toxin isoform 2 OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
365,true,"D9U2A8|KA159_LYCMC",45.039642,15.00,15.00,1,,1,1.0,"",6526.0044,"Potassium channel toxin alpha-KTx 15.9 OS=Lychas mucronatus OX=172552 PE=3 SV=1"
47,true,"P80476|HCY6_ANDAU",365.875,31.63,31.63,20,3142207.2,4,37.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",71785.79,"Hemocyanin AA6 chain OS=Androctonus australis OX=6858 PE=1 SV=1"
192,true,"A0A059UD62|A0A059UD62_MESGB",237.56306,23.44,23.44,6,2.2801726E7,3,12.0,"Carbamidomethylation",15169.232,"Putative phospholipase A2D (Fragment) OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
77,true,"A0A023UH07|A0A023UH07_MESGB",295.27487,46.67,46.67,11,9.6762634E9,8,34.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",6824.2046,"Chlorotoxin-3 OS=Mesobuthus gibbosus OX=123226 GN=ClTx3 PE=4 SV=1"
248,false,"Q686U9|Q686U9_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12947.007,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mt PE=4 SV=1"
251,false,"P58296|SCXB_CENNO",23.070768,9.52,9.52,1,140718.03,1,2.0,"",6981.841,"Toxin Cn11 OS=Centruroides noxius OX=6878 PE=1 SV=1"
98,true,"A0A146CJ61|A0A146CJ61_MESEU",325.20566,57.83,57.83,13,2.6887846E7,2,26.0,"Carbamidomethylation; Oxidation (M)",9606.259,"Venom toxin meuTx21 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
11,true,"A9XE60|KBX11_MESEU",469.20642,63.74,63.74,42,7.3664394E9,18,178.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10338.16,"Potassium channel toxin MeuTXK-beta-1 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
273,true,"C0HJQ2|KA192_BUTOC",185.06097,61.29,61.29,3,913170.9,1,4.0,"Carbamidomethylation",3400.0105,"Potassium channel toxin alpha-KTx 19.2 OS=Buthus occitanus tunetanus OX=6871 PE=1 SV=1"
177,false,"P46111|KAX32_LEIHE",30.196234,15.79,15.79,1,451139.78,1,2.0,"Carbamidomethylation",4096.9224,"Potassium channel toxin alpha-KTx 3.2 OS=Leiurus hebraeus OX=6884 PE=1 SV=1"
193,true,"B8XH22|CL758_BUTOS",207.34395,25.00,25.00,5,5.6096272E7,4,9.0,"Carbamidomethylation; Deamidation (NQ)",7081.1475,"Putative calcium channel toxin Tx758 OS=Buthus occitanus israelis OX=539894 PE=3 SV=1"
268,false,"A0A0C9RP93|A0A0C9RP93_TITBA",104.79903,2.24,2.24,1,364423.75,1,1.0,"",50989.1,"TSA: Tityus bahiensis Tbah00758 mRNA sequence OS=Tityus bahiensis OX=50343 PE=2 SV=1"
58,true,"A0A2I9LP14|A0A2I9LP14_9SCOR",354.81744,30.03,30.03,17,2616265.5,3,38.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",71915.16,"Hemocyanin subunit F OS=Centruroides hentzi OX=88313 PE=4 SV=1"
343,true,"A0A2I9LPT6|A0A2I9LPT6_9SCOR",96.5116,7.74,7.74,1,,1,2.0,"",16987.12,"Eukaryotic translation initiation factor 5A OS=Centruroides hentzi OX=88313 PE=3 SV=1"
179,true,"F8THJ4|F8THJ4_HOTJU",258.08112,23.96,23.96,6,5.5784268E7,6,10.0,"Carbamidomethylation; Deamidation (NQ)",21200.773,"CRISP3 (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
160,true,"E4VP07|NDB46_MESEU",252.2529,54.29,54.29,8,4590807.0,8,9.0,"",7984.505,"Venom antimicrobial peptide-6 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
231,false,"A0A088DB58|A0A088DB58_MESEU",156.59291,29.03,29.03,2,1.3560968E7,2,9.0,"Carbamidomethylation; Deamidation (NQ)",6968.2515,"Potassium channel blocker pMeKTx6-4 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
283,false,"D0UMX6|D0UMX6_HETSP",88.09183,4.95,4.95,1,134038.83,1,1.0,"Carbamidomethylation",24899.412,"Glucose-6-phosphate isomerase (Fragment) OS=Heterometrus spinifer OX=118530 PE=2 SV=1"
244,true,"A0A146CJ70|A0A146CJ70_MESEU",130.37758,40.00,40.00,4,2.05327744E8,4,7.0,"Carbamidomethylation",6315.6875,"Venom toxin meuTx22 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
160,false,"A0A1V1WBL7|A0A1V1WBL7_9SCOR",64.08962,9.72,9.72,1,553805.94,1,1.0,"",8290.7295,"Putative NDBP OS=Superstitionia donensis OX=311983 PE=4 SV=1"
128,true,"A0A088DAF5|A0A088DAF5_MESEU",292.48325,44.44,44.44,9,4.6270144E7,1,18.0,"Carbamidomethylation; Deamidation (NQ)",6893.9365,"Potassium channel blocker pMeKTx30-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
140,true,"B8XGY7|B8XGY7_BUTOS",232.49484,38.82,38.82,7,383877.22,1,61.0,"Carbamidomethylation; Deamidation (NQ)",9323.718,"Putative alpha toxin Tx405 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
274,true,"A0A1W7R9D4|A0A1W7R9D4_9SCOR",177.87936,11.43,11.43,3,1660119.5,2,4.0,"",27677.941,"thioredoxin-dependent peroxiredoxin OS=Hadrurus spadix OX=141984 PE=3 SV=1"
270,false,"A0A1W7RAM1|A0A1W7RAM1_9SCOR",36.20346,2.53,2.53,1,1362146.6,1,1.0,"",24860.465,"Dihydropteridine reductase OS=Hadrurus spadix OX=141984 PE=3 SV=1"
346,true,"E9PZQ0|RYR1_MOUSE",31.038675,0.36,0.36,1,,1,1.0,"",565039.2,"Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1"
149,false,"A0A059UI14|A0A059UI14_MESGB",55.369247,3.85,3.85,1,3525308.2,1,2.0,"",19321.473,"Putative adhesive plaque matrix protein OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
251,false,"B7SNV8|SCX8_PARGR",23.070768,7.32,7.32,1,140718.03,1,2.0,"",9314.757,"Toxin Pg8 OS=Parabuthus granulatus OX=242110 PE=1 SV=1"
24,false,"Q4TUA4|SCA4_MESMA",438.4138,56.47,56.47,32,6240400.0,4,277.0,"Carbamidomethylation; Deamidation (NQ)",9453.848,"Alpha-toxin 4 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
366,true,"A0A1W7RAP7|A0A1W7RAP7_9SCOR",86.36098,3.93,3.93,1,2176298.5,1,2.0,"",20186.71,"Protein D3 OS=Hadrurus spadix OX=141984 PE=4 SV=1"
359,true,"A0A1W7RB33|A0A1W7RB33_9SCOR",83.78497,5.52,5.52,1,31791.984,1,1.0,"",20616.715,"ADP-ribosylation factor OS=Hadrurus spadix OX=141984 PE=3 SV=1"
70,true,"A0A088DAE8|A0A088DAE8_MESEU",317.4086,40.00,40.00,14,8.4357818E8,2,55.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10361.232,"Potassium channel blocker pMeKTx28-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
367,true,"P55903|SIX4_BUTOC",25.2262,13.11,13.11,1,520037.16,1,1.0,"Carbamidomethylation",6844.6187,"Beta-insect depressant toxin BotIT4 OS=Buthus occitanus tunetanus OX=6871 PE=1 SV=1"
212,false,"A0A1W7RB75|A0A1W7RB75_9SCOR",132.80624,7.03,7.03,2,445866.3,2,3.0,"",29259.855,"14-3-3 protein epsilon OS=Hadrurus spadix OX=141984 PE=3 SV=1"
160,false,"A0A0K0LBS0|A0A0K0LBS0_9SCOR",174.36372,19.40,19.40,3,2885434.0,3,3.0,"",7721.2207,"Non-disulfide-bridged peptide androcin 10-2 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
309,true,"A0A2I9LNW8|A0A2I9LNW8_9SCOR",144.55766,12.22,12.22,2,156202.64,2,3.0,"",20340.592,"Protein D3 OS=Centruroides hentzi OX=88313 PE=4 SV=1"
129,true,"D3JXM1|KA164_MESEU",271.05206,59.32,59.32,10,8.2591501E8,3,33.0,"Carbamidomethylation",6401.6895,"Potassium channel toxin alpha-KTx 16.4 OS=Mesobuthus eupeus OX=34648 PE=1 SV=2"
248,false,"Q686S9|Q686S9_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12893.709,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mt PE=4 SV=1"
11,false,"A9XE59|KBX12_MESEU",402.49698,54.95,54.95,27,2.5125386E7,8,91.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10328.122,"Potassium channel toxin MeuTXK-beta-2 OS=Mesobuthus eupeus OX=34648 PE=3 SV=1"
213,true,"P0CI60|SNAY5_LYCMC",208.40753,22.89,22.89,5,,1,9.0,"Carbamidomethylation",9472.068,"Neurotoxin LmNaTx34.5 (Fragment) OS=Lychas mucronatus OX=172552 PE=2 SV=1"
177,false,"P45696|KAX35_ANDAU",189.09732,23.73,23.73,5,4.06745088E8,5,9.0,"Carbamidomethylation; Deamidation (NQ)",6392.894,"Potassium channel toxin alpha-KTx 3.5 OS=Androctonus australis OX=6858 GN=KTX2 PE=1 SV=1"
245,true,"R4H555|R4H555_MESEU",165.14236,25.00,25.00,3,8799730.0,2,4.0,"Carbamidomethylation; Deamidation (NQ)",7115.168,"Lamda-potassium channel toxin OS=Mesobuthus eupeus OX=34648 GN=KTx PE=2 SV=1"
214,true,"A0A088DB22|A0A088DB22_MESEU",241.77205,61.29,61.29,5,380262.62,2,9.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",7211.4995,"Potassium channel blocker pMeKTx18-2 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
8,false,"F1CIW6|F1CIW6_HOTJU",255.74347,28.49,28.49,6,2.9813102E7,4,22.0,"Deamidation (NQ)",20714.914,"Hyaluronidase (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
310,true,"A0A0U1U080|A0A0U1U080_ISOMC",120.48339,16.81,16.81,2,7299986.5,1,3.0,"Deamidation (NQ)",25082.443,"SCP domain-containing protein (Fragment) OS=Isometrus maculatus OX=497827 PE=2 SV=1"
246,true,"A0A088D9Q7|A0A088D9Q7_MESEU",154.52357,41.07,41.07,3,2.4911564E7,3,4.0,"Carbamidomethylation; Oxidation (M)",6447.7397,"Potassium channel blocker pMeKTx7-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
211,false,"A0A1W7R9Y3|A0A1W7R9Y3_9SCOR",175.2121,5.35,5.35,3,87027.92,3,4.0,"",72103.35,"Plastin-2 OS=Hadrurus spadix OX=141984 PE=4 SV=1"
362,true,"Q94435|SCXA_CENNO",82.68158,7.41,7.41,1,322199.44,1,1.0,"Carbamidomethylation",8812.301,"Insect-toxin Cn10 (Fragment) OS=Centruroides noxius OX=6878 PE=1 SV=2"
108,true,"O61668|SIX1_MESMA",204.77585,29.55,29.55,4,9.9722296E7,4,31.0,"Carbamidomethylation; Deamidation (NQ)",9766.543,"Beta-insect excitatory toxin BmKIT1 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
151,true,"Q867F4|KA154_ANDAU",261.74072,33.90,33.90,7,2.5406656E7,3,17.0,"Carbamidomethylation; Deamidation (NQ)",6290.6104,"Potassium channel toxin alpha-KTx 15.4 OS=Androctonus australis OX=6858 PE=1 SV=1"
161,true,"A0A2I9LPE8|A0A2I9LPE8_9SCOR",276.00473,13.93,13.93,8,604228.25,3,8.0,"",55573.84,"Protein disulfide-isomerase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
311,true,"A0A1S5QN69|A0A1S5QN69_TITSE",118.18271,14.95,14.95,2,428676.75,1,2.0,"Deamidation (NQ); Carbamidomethylation",23963.145,"Serine protease 1 OS=Tityus serrulatus OX=6887 PE=2 SV=1"
34,true,"A0A088D9U2|A0A088D9U2_MESEU",382.19125,58.89,58.89,26,1.12035696E8,6,77.0,"Carbamidomethylation; Oxidation (M)",10264.25,"Potassium channel blocker pMeKTx28-2 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
180,true,"A0A088DAZ3|A0A088DAZ3_MESEU",220.202,61.29,61.29,4,1.4133332E7,2,14.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7188.465,"Potassium channel blocker pMeKTx18-1b OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
78,true,"E4VP20|E4VP20_MESEU",284.8657,58.33,58.33,8,3.7287156E7,4,29.0,"Carbamidomethylation; Deamidation (NQ)",6535.5405,"Potassium channel blocker pMeKTx23-2 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
109,true,"P45639|CTXL_LEIQU",304.32846,66.67,66.67,11,982286.6,4,19.0,"Carbamidomethylation; Oxidation (M)",4004.7458,"Chlorotoxin OS=Leiurus quinquestriatus quinquestriatus OX=6885 PE=1 SV=1"
73,false,"P0CC12|KAX85_ODODO",94.17779,12.28,12.28,1,20212.47,1,1.0,"Carbamidomethylation",6289.4233,"Potassium channel toxin alpha-KTx 8.5 OS=Odontobuthus doriae OX=342590 PE=1 SV=2"
85,true,"P59854|SCX7_MESMA",302.761,31.82,31.82,10,533051.1,1,30.0,"Carbamidomethylation; Deamidation (NQ)",7244.3345,"Alpha-like toxin BmK-M7 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
59,false,"A0A2I9LNI8|A0A2I9LNI8_9SCOR",358.67413,57.45,57.45,17,8674531.0,17,25.0,"Deamidation (NQ); Carbamidomethylation",41793.78,"Actin OS=Centruroides hentzi OX=88313 PE=3 SV=1"
83,false,"E4VP08|E4VP08_MESEU",262.50195,44.30,44.30,8,1.2452603E7,5,8.0,"Carbamidomethylation",9035.485,"Venom toxin-like peptide OS=Mesobuthus eupeus OX=34648 GN=vtoxinlip-4 PE=2 SV=1"
151,true,"A0A143MGR2|A0A143MGR2_MESEU",261.74072,33.90,33.90,7,2.5406656E7,3,17.0,"Carbamidomethylation; Deamidation (NQ)",6276.5835,"Potassium channel toxin meuK3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
2,true,"D8UWD8|SCXN9_MESEU",512.1154,95.38,95.38,72,322512.94,5,314.0,"Carbamidomethylation; Deamidation (NQ); Acetylation (Protein N-term)",7285.214,"Sodium channel neurotoxin MeuNaTxalpha-9 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
368,true,"U6JMH0|U6JMH0_TITSE",43.085724,7.58,7.58,1,71353.984,1,1.0,"Carbamidomethylation",21615.977,"Cathepsin L-like cysteine peptidase 1 protein (Fragment) OS=Tityus serrulatus OX=6887 GN=ctsl PE=2 SV=1"
369,true,"B8XH16|B8XH16_BUTOS",26.366287,30.56,30.56,1,483144.06,1,1.0,"Carbamidomethylation; Deamidation (NQ)",8216.512,"Putative depressant toxin Tx577 (Fragment) OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
110,true,"E4VP63|E4VP63_MESEU",293.09088,13.68,13.68,10,7.8051814E8,7,37.0,"Carbamidomethylation; Deamidation (NQ)",11025.626,"Venom lipolysis activating peptide alpha subunit OS=Mesobuthus eupeus OX=34648 PE=4 SV=1"
219,false,"A0A0U4FPA4|A0A0U4FPA4_ODODO",193.04025,26.96,26.96,3,558053.0,3,3.0,"Carbamidomethylation",13172.041,"Uncharacterized protein OS=Odontobuthus doriae OX=342590 GN=HP2 PE=2 SV=1"
334,true,"A0A0K0LBQ9|A0A0K0LBQ9_9SCOR",35.24445,8.22,8.22,1,489294.78,1,1.0,"",8458.038,"Pradykinin-potentiating peptide-like peptide Bpp-2 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
362,true,"B8XH11|B8XH11_BUTOS",82.68158,7.14,7.14,1,322199.44,1,1.0,"Carbamidomethylation",9433.9795,"Putative depressant toxin Tx67 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
117,true,"A0A0C9RP88|A0A0C9RP88_TITBA",289.94724,10.58,10.58,11,4.790422E7,2,22.0,"Carbamidomethylation; Deamidation (NQ)",47590.03,"TSA: Tityus bahiensis Tbah00853 mRNA sequence OS=Tityus bahiensis OX=50343 PE=2 SV=1"
370,true,"A0A5J6YIC3|A0A5J6YIC3_9SCOR",104.24847,17.24,17.24,1,139924.23,1,2.0,"",9481.956,"Ubiquitin-fold modifier 1 OS=Centruroides edwardsii OX=2565419 GN=CR13_54 PE=2 SV=1"
312,true,"A0A2I9LPB9|A0A2I9LPB9_9SCOR",135.9844,2.18,2.18,2,1130239.2,2,3.0,"Carbamidomethylation",77778.695,"Neuroendocrine convertase 1 OS=Centruroides hentzi OX=88313 PE=3 SV=1"
371,true,"A0A1W7R9U9|A0A1W7R9U9_9SCOR",29.807,8.15,8.15,1,56508.75,1,2.0,"",20792.865,"small monomeric GTPase OS=Hadrurus spadix OX=141984 PE=4 SV=1"
170,false,"H2CYP6|H2CYP6_PANCV",199.09908,35.94,35.94,6,5799746.0,6,7.0,"Acetylation (Protein N-term)",14685.242,"Ubiquitin-ribosomal protein eL40 fusion protein OS=Pandinus cavimanus OX=217261 PE=2 SV=1"
275,true,"Q5G8A6|KBX1_TITCO",202.96921,22.99,22.99,3,,1,3.0,"Carbamidomethylation",9775.561,"Scorpine-like peptide Tco 41.46-2 OS=Tityus costatus OX=309814 PE=1 SV=1"
248,true,"Q686X3|Q686X3_MESEU",221.61899,39.50,39.50,4,1882580.8,4,8.0,"Carbamidomethylation",12883.139,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus eupeus OX=34648 GN=ttrans PE=4 SV=1"
269,false,"A0A1W7RAF7|A0A1W7RAF7_9SCOR",74.695496,2.35,2.35,2,43808.59,2,2.0,"",98263.22,"Alpha-1,4 glucan phosphorylase OS=Hadrurus spadix OX=141984 PE=3 SV=1"
94,true,"C6H100|C6H100_PANIM",329.75922,22.33,22.33,15,7002960.5,6,29.0,"Carbamidomethylation",71985.28,"Hemocyanin subunit 5a OS=Pandinus imperator OX=55084 GN=hc5a PE=2 SV=1"
205,true,"P0C1B8|IKIT_PARTR",206.0381,29.31,29.31,4,6039844.0,1,9.0,"Deamidation (NQ); Carbamidomethylation",6620.3545,"Ikitoxin OS=Parabuthus transvaalicus OX=170972 PE=1 SV=1"
372,true,"P0DL65|KA26U_MESMA",89.51703,17.24,17.24,1,993930.9,1,1.0,"Carbamidomethylation",6501.6675,"Mesomartoxin OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
177,true,"C0HJQ6|KAX3J_MESEU",193.545,54.05,54.05,6,1.12127283E9,6,12.0,"Carbamidomethylation; Deamidation (NQ)",3968.7737,"Potassium channel toxin alpha-KTx 3.19 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
102,false,"C0HJQ7|KAX1H_MESEU",201.94391,43.24,43.24,7,1.45573875E9,7,30.0,"Deamidation (NQ); Oxidation (M); Carbamidomethylation",4277.1284,"Potassium channel toxin alpha-KTx 1.17 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
249,true,"A0A0U4HEU8|A0A0U4HEU8_ODODO",211.44778,25.17,25.17,4,394646.1,1,7.0,"Carbamidomethylation; Deamidation (NQ)",15973.006,"Venom protein VP4 OS=Odontobuthus doriae OX=342590 GN=VP4 PE=2 SV=1"
276,true,"A0A1S5QMZ5|A0A1S5QMZ5_TITSE",183.96536,3.87,3.87,3,3418044.8,3,4.0,"",71867.84,"Angiotensin-converting enzyme OS=Tityus serrulatus OX=6887 PE=2 SV=1"
162,true,"A0A2I9LNV5|A0A2I9LNV5_9SCOR",278.86365,66.22,66.22,8,2732419.0,8,13.0,"Carbamidomethylation",16976.414,"Cofilin OS=Centruroides hentzi OX=88313 PE=3 SV=1"
163,false,"A0AA49XAC4|A0AA49XAC4_ANDCR",85.97787,3.04,3.04,1,2797001.8,1,1.0,"Carbamidomethylation",26498.033,"Secretory phospholipase A2 isoform X3 OS=Androctonus crassicauda OX=122909 PE=2 SV=1"
313,true,"B8XH42|KA166_BUTOS",109.54565,27.59,27.59,2,52175.816,1,2.0,"Carbamidomethylation; Deamidation (NQ)",6511.724,"Potassium channel toxin alpha-KTx 16.6 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
373,true,"F6K5S5|F6K5S5_MESEU",23.973837,9.21,9.21,1,863924.56,1,1.0,"",9318.075,"Antimicrobial peptide meucin-18-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
314,true,"D0UQX6|D0UQX6_HADAR",100.123955,13.07,13.07,1,68379.555,1,2.0,"Deamidation (NQ); Carbamidomethylation",16706.111,"ATP synthase (Fragment) OS=Hadrurus arizonensis OX=88316 PE=2 SV=1"
18,true,"A0A0D4CZV2|A0A0D4CZV2_MESEU",378.49286,70.00,70.00,22,6579568.0,3,180.0,"Oxidation (M); Carbamidomethylation; Deamidation (NQ)",6579.908,"I4 toxin OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
97,true,"A0A146CJF8|A0A146CJF8_MESEU",282.48856,60.00,60.00,11,,1,36.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",6567.897,"Venom peptide meu14toxinA OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
248,false,"Q686V7|Q686V7_MESGB",195.35854,24.17,24.17,3,1000327.2,3,5.0,"Carbamidomethylation",12942.225,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mettrans PE=4 SV=1"
250,true,"A0A0K0LBV5|A0A0K0LBV5_9SCOR",110.499466,17.98,17.98,1,2.7313668E7,1,17.0,"Deamidation (NQ); Carbamidomethylation",10301.887,"Sodium channel blocker AbNaTx24 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
374,true,"A0A146CIQ1|A0A146CIQ1_MESEU",76.93275,7.95,7.95,1,3995962.8,1,1.0,"Carbamidomethylation",9998.632,"Sodium channel toxin meuNa6 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
368,true,"U6JRI6|U6JRI6_TITSE",43.085724,12.10,12.10,1,71353.984,1,1.0,"Carbamidomethylation",13441.725,"Cathepsin L-like cysteine peptidase 8 protein (Fragment) OS=Tityus serrulatus OX=6887 GN=ctsl PE=2 SV=1"
375,true,"A0A0U1TZE8|A0A0U1TZE8_ISOMC",87.25415,8.99,8.99,1,,1,1.0,"",9763.987,"Phospholipid scramblase (Fragment) OS=Isometrus maculatus OX=497827 PE=2 SV=1"
315,true,"A0A1W7R9F1|A0A1W7R9F1_9SCOR",111.70143,2.99,2.99,2,108156.84,2,3.0,"",55802.555,"TOM1-like protein 2 OS=Hadrurus spadix OX=141984 PE=3 SV=1"
277,true,"A0A0U1SF04|A0A0U1SF04_ISOMC",144.06857,9.45,9.45,2,446314.7,2,3.0,"Deamidation (NQ)",23076.875,"Peptidase M14 carboxypeptidase A domain-containing protein (Fragment) OS=Isometrus maculatus OX=497827 PE=2 SV=1"
118,true,"A0A7U1GK49|A0A7U1GK49_ANDCR",303.68967,34.41,34.41,12,1507364.0,6,14.0,"Carbamidomethylation",46706.223,"Enolase OS=Androctonus crassicauda OX=122909 PE=2 SV=1"
99,true,"F1CJ13|F1CJ13_HOTJU",325.30872,44.51,44.51,14,1832181.8,10,19.0,"Carbamidomethylation; Deamidation (NQ)",37184.215,"Thioredoxin domain-containing protein (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
361,true,"G4WFQ3|G4WFQ3_MESEU",87.85164,19.32,19.32,1,,1,1.0,"Carbamidomethylation; Deamidation (NQ)",10125.692,"NaTxalpha-C5-1 OS=Mesobuthus eupeus OX=34648 PE=4 SV=1"
215,true,"B8XGY6|B8XGY6_BUTOS",226.7698,22.35,22.35,5,,1,9.0,"Carbamidomethylation",9457.861,"Putative alpha toxin Tx17 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
368,true,"U6JMC3|U6JMC3_TITSE",43.085724,4.46,4.46,1,71353.984,1,1.0,"Carbamidomethylation",37093.617,"Cathepsin L-like cysteine peptidase 2 protein OS=Tityus serrulatus OX=6887 GN=ctsl PE=2 SV=1"
240,false,"A0A1W7RAB2|A0A1W7RAB2_9SCOR",154.02972,4.58,4.58,2,504698.8,2,4.0,"Carbamidomethylation",43083.473,"Lysosomal aspartic protease OS=Hadrurus spadix OX=141984 PE=3 SV=1"
129,true,"B3EWY1|KA167_MESGB",271.05206,59.32,59.32,10,8.2591501E8,3,33.0,"Carbamidomethylation",6401.6895,"Potassium channel toxin alpha-KTx 16.7 OS=Mesobuthus gibbosus OX=123226 PE=1 SV=2"
141,true,"A0A1W7RAD7|A0A1W7RAD7_9SCOR",247.6889,11.27,11.27,7,653055.3,1,14.0,"Deamidation (NQ); Carbamidomethylation",73508.46,"Hemocyanin subunit 3c OS=Hadrurus spadix OX=141984 PE=3 SV=1"
64,true,"A0A2I9LP22|A0A2I9LP22_9SCOR",347.89456,27.59,27.59,17,507705.5,2,29.0,"Carbamidomethylation; Oxidation (M)",72052.08,"Hemocyanin AA6 chain OS=Centruroides hentzi OX=88313 PE=3 SV=1"
